TEAM_ID,TEAM_NAME,BASE_GP,BASE_W,BASE_L,BASE_W_PCT,BASE_MIN,BASE_FGM,BASE_FGA,BASE_FG_PCT,BASE_FG3M,BASE_FG3A,BASE_FG3_PCT,BASE_FTM,BASE_FTA,BASE_FT_PCT,BASE_OREB,BASE_DREB,BASE_REB,BASE_AST,BASE_TOV,BASE_STL,BASE_BLK,BASE_BLKA,BASE_PF,BASE_PFD,BASE_PTS,BASE_PLUS_MINUS,BASE_GP_RANK,BASE_W_RANK,BASE_L_RANK,BASE_W_PCT_RANK,BASE_MIN_RANK,BASE_FGM_RANK,BASE_FGA_RANK,BASE_FG_PCT_RANK,BASE_FG3M_RANK,BASE_FG3A_RANK,BASE_FG3_PCT_RANK,BASE_FTM_RANK,BASE_FTA_RANK,BASE_FT_PCT_RANK,BASE_OREB_RANK,BASE_DREB_RANK,BASE_REB_RANK,BASE_AST_RANK,BASE_TOV_RANK,BASE_STL_RANK,BASE_BLK_RANK,BASE_BLKA_RANK,BASE_PF_RANK,BASE_PFD_RANK,BASE_PTS_RANK,BASE_PLUS_MINUS_RANK,ADV_GP,ADV_W,ADV_L,ADV_W_PCT,ADV_MIN,ADV_E_OFF_RATING,ADV_OFF_RATING,ADV_E_DEF_RATING,ADV_DEF_RATING,ADV_E_NET_RATING,ADV_NET_RATING,ADV_AST_PCT,ADV_AST_TO,ADV_AST_RATIO,ADV_OREB_PCT,ADV_DREB_PCT,ADV_REB_PCT,ADV_TM_TOV_PCT,ADV_EFG_PCT,ADV_TS_PCT,ADV_E_PACE,ADV_PACE,ADV_PACE_PER40,ADV_POSS,ADV_PIE,ADV_GP_RANK,ADV_W_RANK,ADV_L_RANK,ADV_W_PCT_RANK,ADV_MIN_RANK,ADV_OFF_RATING_RANK,ADV_DEF_RATING_RANK,ADV_NET_RATING_RANK,ADV_AST_PCT_RANK,ADV_AST_TO_RANK,ADV_AST_RATIO_RANK,ADV_OREB_PCT_RANK,ADV_DREB_PCT_RANK,ADV_REB_PCT_RANK,ADV_TM_TOV_PCT_RANK,ADV_EFG_PCT_RANK,ADV_TS_PCT_RANK,ADV_PACE_RANK,ADV_PIE_RANK,REFRESHED_AT,MASTER_BUILT_AT
1610612737,Atlanta Hawks,25,14,11,0.56,48.4,43.4,89.6,0.485,14.0,37.8,0.369,17.2,21.9,0.785,9.9,31.8,41.8,30.8,15.2,9.6,5.0,4.4,20.6,19.4,118.0,1.6,1,11,15,15,13,5,16,9,9,13,9,25,26,18,25,20,25,1,17,4,12,14,11,25,11,16,25,14,11,0.56,1210.0,112.9,114.8,111.1,113.3,1.9,1.5,0.709,2.02,21.0,0.275,0.68,0.482,0.148,0.563,0.595,103.8,101.99,84.99,2571,0.515,1,11,15,15,3,15,10,16,2,6,1,24,22,26,17,6,7,6,13,2025-12-09T10:23:05.895511+00:00,2025-12-09T10:24:05.110829+00:00
1610612738,Boston Celtics,24,15,9,0.625,48.0,43.3,91.6,0.473,16.0,43.3,0.369,14.6,18.6,0.787,13.0,30.8,43.8,24.7,11.8,8.4,5.5,4.4,22.8,18.9,117.3,6.7,8,7,8,8,27,6,3,13,1,3,10,30,30,17,5,26,18,26,1,15,7,15,27,28,16,5,24,15,9,0.625,1152.0,119.0,122.0,111.7,114.8,7.3,7.2,0.569,2.1,18.0,0.333,0.663,0.497,0.122,0.56,0.588,98.8,96.21,80.17,2306,0.524,8,7,8,8,20,2,17,5,30,3,18,7,29,18,1,8,10,30,9,2025-12-09T10:23:05.895511+00:00,2025-12-09T10:24:05.110829+00:00
1610612751,Brooklyn Nets,23,6,17,0.261,48.0,37.8,85.0,0.445,14.0,41.2,0.341,19.7,25.3,0.779,11.2,28.6,39.8,25.3,15.8,7.0,4.2,4.2,20.5,21.4,109.4,-7.8,21,25,24,25,27,30,28,28,8,5,26,18,13,21,17,30,29,21,23,27,24,7,10,15,30,26,23,6,17,0.261,1104.0,108.6,112.3,117.3,119.8,-8.6,-7.6,0.67,1.61,18.3,0.31,0.674,0.484,0.162,0.528,0.569,100.4,97.65,81.38,2242,0.446,21,25,24,25,26,23,27,26,7,24,14,15,27,25,29,24,23,28,28,2025-12-09T10:23:05.895511+00:00,2025-12-09T10:24:05.110829+00:00
1610612766,Charlotte Hornets,24,7,17,0.292,48.4,40.0,88.4,0.453,13.8,40.3,0.342,20.3,24.7,0.824,11.7,33.0,44.6,25.3,16.0,6.9,5.0,4.1,19.0,21.7,114.2,-4.1,8,24,24,24,9,26,20,25,12,7,23,12,17,4,14,10,14,23,24,30,13,5,1,13,21,21,24,7,17,0.292,1162.0,110.2,113.5,115.9,117.5,-5.7,-4.0,0.632,1.58,17.7,0.338,0.729,0.529,0.159,0.531,0.575,101.9,99.78,83.15,2415,0.48,8,24,24,24,9,18,24,22,12,27,22,6,2,2,25,21,21,24,22,2025-12-09T10:23:05.895511+00:00,2025-12-09T10:24:05.110829+00:00
1610612741,Chicago Bulls,23,9,14,0.391,48.4,42.1,90.3,0.466,14.0,38.1,0.366,19.1,24.1,0.791,10.5,35.0,45.5,28.4,15.5,8.0,4.8,6.3,20.3,20.0,117.3,-5.3,21,20,19,20,8,15,8,17,10,10,12,20,20,15,22,3,7,7,18,23,15,30,8,22,15,24,23,9,14,0.391,1114.0,110.7,111.9,115.5,117.3,-4.8,-5.5,0.675,1.83,19.3,0.279,0.705,0.495,0.148,0.544,0.581,105.1,103.73,86.45,2412,0.483,21,20,19,20,23,24,23,24,6,12,8,23,7,19,15,15,17,2,20,2025-12-09T10:23:05.895511+00:00,2025-12-09T10:24:05.110829+00:00
1610612739,Cleveland Cavaliers,25,14,11,0.56,48.2,42.4,92.2,0.459,15.1,44.0,0.343,18.8,24.6,0.763,12.7,32.1,44.8,26.8,14.0,8.9,5.6,4.2,21.6,21.8,118.6,3.2,1,11,15,15,24,11,2,20,5,1,22,23,19,25,8,17,11,11,6,9,5,9,20,12,9,11,25,14,11,0.56,1205.0,113.7,115.9,110.4,113.0,3.3,3.0,0.632,1.92,18.4,0.313,0.691,0.498,0.136,0.541,0.575,104.0,101.8,84.83,2557,0.509,1,11,15,15,5,10,9,11,11,8,13,14,14,16,6,17,20,9,14,2025-12-09T10:23:05.895511+00:00,2025-12-09T10:24:05.110829+00:00
1610612742,Dallas Mavericks,25,9,16,0.36,48.6,40.4,88.2,0.458,11.7,34.4,0.341,19.3,25.6,0.756,10.0,34.0,44.0,24.8,15.6,8.2,5.8,5.1,20.6,21.7,111.8,-4.3,1,20,23,22,5,25,22,21,25,22,25,19,12,26,24,5,16,25,20,19,4,19,11,14,26,22,25,9,16,0.36,1215.0,106.5,108.6,110.3,112.3,-3.8,-3.7,0.613,1.59,17.5,0.268,0.687,0.481,0.151,0.524,0.562,103.8,101.93,84.94,2575,0.483,1,20,23,22,1,29,7,21,19,25,26,27,19,27,19,26,26,7,19,2025-12-09T10:23:05.895511+00:00,2025-12-09T10:24:05.110829+00:00
1610612743,Denver Nuggets,23,17,6,0.739,48.2,45.1,87.9,0.513,13.6,34.3,0.397,21.2,25.6,0.827,10.9,33.9,44.8,29.4,13.5,7.0,4.0,4.2,19.3,22.2,125.0,8.7,21,3,3,3,15,1,24,1,14,23,3,6,11,3,18,6,12,5,4,27,25,7,2,8,1,3,23,17,6,0.739,1109.0,122.8,124.0,114.0,115.4,8.8,8.6,0.652,2.18,20.4,0.314,0.715,0.526,0.134,0.591,0.63,101.5,100.37,83.64,2319,0.551,21,3,3,3,24,1,18,3,9,1,2,13,3,3,4,1,1,21,3,2025-12-09T10:23:05.895511+00:00,2025-12-09T10:24:05.110829+00:00
1610612765,Detroit Pistons,24,19,5,0.792,48.2,43.0,89.2,0.482,11.2,31.7,0.354,21.6,28.9,0.747,13.7,33.1,46.8,26.1,16.1,9.5,6.0,5.0,23.0,23.6,118.7,5.5,8,2,2,2,17,9,17,10,27,28,19,5,2,29,4,8,2,14,27,5,2,18,30,2,8,6,24,19,5,0.792,1157.0,113.8,116.7,109.0,111.3,4.8,5.4,0.608,1.62,17.9,0.359,0.689,0.525,0.158,0.545,0.583,103.6,101.29,84.41,2441,0.538,8,2,2,2,13,9,4,6,21,21,19,2,17,4,23,14,14,12,4,2025-12-09T10:23:05.895511+00:00,2025-12-09T10:24:05.110829+00:00
1610612744,Golden State Warriors,25,13,12,0.52,48.2,39.4,87.7,0.449,15.9,43.8,0.364,18.8,23.0,0.819,11.3,32.2,43.5,27.4,16.0,9.7,4.4,4.0,20.7,18.8,113.5,1.8,1,16,17,17,24,28,25,26,2,2,15,21,24,5,16,16,19,8,26,3,20,4,14,29,23,15,25,13,12,0.52,1205.0,110.6,112.7,108.8,110.7,1.9,2.0,0.696,1.71,19.2,0.3,0.671,0.486,0.159,0.54,0.58,102.2,100.38,83.65,2517,0.504,1,16,17,17,5,22,3,15,4,18,9,19,28,21,26,18,18,20,15,2025-12-09T10:23:05.895511+00:00,2025-12-09T10:24:05.110829+00:00
